Scenario,Site,Mean_N,CV,N_lo,N_hi
Status Quo,BL,1072.6,0.1763,798.9,1382.1
Status Quo,DE,1014.1,0.185,732.6,1330.3
Status Quo,DP,586.6,0.1788,432.6,754
Status Quo,PRH,417.1,0.2382,292.3,586.5
Status Quo,TB,804.7,0.1743,616.3,1065.9
Status Quo,TP,624.5,0.1799,459.6,825.4
Warm MOCI (+1 SD),BL,906,0.1751,685.6,1171.8
Warm MOCI (+1 SD),DE,868.5,0.1907,626.6,1140.9
Warm MOCI (+1 SD),DP,505.6,0.1834,369.3,669
Warm MOCI (+1 SD),PRH,350.3,0.2239,246.2,489.9
Warm MOCI (+1 SD),TB,689.5,0.1849,511.7,919.7
Warm MOCI (+1 SD),TP,528.4,0.1869,383.8,695.8
Cool MOCI (-1 SD),BL,1279,0.197,936.2,1704.2
Cool MOCI (-1 SD),DE,1185.8,0.1976,852.1,1623.4
Cool MOCI (-1 SD),DP,683.2,0.1889,492.7,893.1
Cool MOCI (-1 SD),PRH,495,0.2621,333.1,741.5
Cool MOCI (-1 SD),TB,936.1,0.1785,699.9,1225.5
Cool MOCI (-1 SD),TP,742.2,0.195,543.1,996.1
High Disturbance (+1 SD),BL,1032.6,0.1787,763,1352.1
High Disturbance (+1 SD),DE,974.9,0.1849,713.7,1287.7
High Disturbance (+1 SD),DP,578.1,0.1762,430.2,751.5
High Disturbance (+1 SD),PRH,404.7,0.2357,286.2,564.3
High Disturbance (+1 SD),TB,767.4,0.1711,581.1,1004.8
High Disturbance (+1 SD),TP,606.1,0.1743,446.6,790.5
High Coyote (+1 SD),BL,1036.6,0.1745,770.9,1342.9
High Coyote (+1 SD),DE,940,0.1822,684.2,1216.6
High Coyote (+1 SD),DP,571,0.1768,421.8,729.1
High Coyote (+1 SD),PRH,415.9,0.2366,290.3,598.2
High Coyote (+1 SD),TB,800.2,0.1754,604.3,1055.4
High Coyote (+1 SD),TP,623.5,0.1755,459.7,814.3
Warm + High Stress,BL,855.1,0.1774,638.2,1098.5
Warm + High Stress,DE,798.8,0.1853,577.2,1030.2
Warm + High Stress,DP,489.1,0.1819,350.6,638.9
Warm + High Stress,PRH,343.1,0.2255,241.8,476
Warm + High Stress,TB,664.4,0.1745,504.1,872
Warm + High Stress,TP,516.8,0.1802,382,674.9
Cool + Low Stress,BL,1412.3,0.2055,1001,1939.4
Cool + Low Stress,DE,1429.2,0.2177,1006.7,1959.6
Cool + Low Stress,DP,729.9,0.2009,514.9,980.9
Cool + Low Stress,PRH,509.9,0.2649,341.3,757.6
Cool + Low Stress,TB,1000.8,0.1993,728.9,1372.3
Cool + Low Stress,TP,767.7,0.1998,543.1,1030
